Begin_Date,Title,Company,Station,Epesodes,Character_count,Character_count_no_space
10/7/16,ALL OUT!!,トムス・エンタテインメント、マッドハウス,TOKYO MX,25,9,8
10/7/16,バーナード嬢曰く。,Creators in Pack,TVS、AT-Xほか,12,9,9
10/7/16,私がモテてどうすんだ,ブレインズ・ベース,TBS,12,10,10
10/7/16,ガーリッシュナンバー,ディオメディア,TBS,12,10,10
10/7/16,ドリフェス!,BN Pictures,TOKYO MXほか,12,6,6
10/7/16,ドリフターズ,フッズエンタテインメント[注8 2],TOKYO MXほか,12,6,6
10/8/16,Lostorage incited WIXOSS,J.C.STAFF,TOKYO MXほか,12,24,22
10/8/16,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,Production I.G,MBS,10,23,20
10/8/16,亜人（第2期）,ポリゴン・ピクチュアズ,MBS,12,7,7
10/8/16,クラシカロイド（第1期）,サンライズ,NHK Eテレ,25,12,12
10/8/16,ろんぐらいだぁす!,アクタス,TOKYO MXほか,12,9,9
10/8/16,3月のライオン（第1期）,シャフト,NHK総合,22,12,12
10/9/16,Occultic;Nine -オカルティック・ナイン-,A-1 Pictures,TOKYO MX、BS11ほか,12,27,26
10/9/16,戦国鳥獣戯画〜甲〜,ILCA,KBCほか,13,9,9
10/9/16,うどんの国の金色毛鞠,ライデンフィルム,NTV,12,10,10
10/10/16,はがねオーケストラ,ファンワークス,TOKYO MX,12,9,9
10/10/16,どちゃもん じゅにあ（第2期）,CALF,NHK Eテレ,16,15,14
10/14/16,舟を編む,ZEXCS,CX,11,4,4
10/14/16,PJベリーのもぐもぐむにゃむにゃ,動画工房,CX,22,16,16
10/21/16,ラララ ララちゃん -パタパタだいせんそう,IKIF+、Picona、Spooky graphic,KIDS STATION,12,21,19
11/17/16,ポケットモンスター サン&ムーン,OLM,TX,146,16,15
11/25/16,神々の記,想通,CX,16,4,4
12/6/16,コチンPa! 2nd,,TOKYO MX,24,10,9
12/9/16,イナズマデリバリー（第1期）,カナバングラフィックス,スペースシャワーTV,10,14,14
12/11/16,いっぽう日本昔ばなし,ILCA,ANIMAX,12,10,10
1/2/17,超・少年探偵団NEO,DLE,TOKYO MX,13,10,10
1/3/17,あいまいみー 〜Surgical Friends〜,セブン,AT-X、TVS,12,25,23
1/4/17,AKIBA'S TRIP -THE ANIMATION-,GONZO,TOKYO MX、AT-X、BSフジ,13,28,25
1/5/17,政宗くんのリベンジ,SILVER LINK.,TOKYO MX、AT-X、BSフジ,12,9,9
1/6/17,うらら迷路帖,J.C.STAFF,TBS、SUN,12,6,6
1/6/17,セイレン,Studio五組、AXsiZ,TBS、SUN,12,4,4
1/6/17,幼女戦記,NUT,AT-X、TOKYO MXほか,12,4,4
1/6/17,風夏,ディオメディア,TOKYO MX、MBS,12,2,2
1/7/17,南鎌倉高校女子自転車部,J.C.STAFF、A・C・G・T,AT-X、TVOほか,12,11,11
1/7/17,スクールガールストライカーズ -Animation Channel-,J.C.STAFF,TOKYO MXほか,13,34,32
1/7/17,青の祓魔師 京都不浄王篇,A-1 Pictures,MBS,12,12,11
1/7/17,昭和元禄落語心中 -助六再び篇-,スタジオディーン,MBS,12,16,15
1/8/17,亜人ちゃんは語りたい,A-1 Pictures,TOKYO MXほか,12,10,10
1/8/17,霊剣山 叡智への資格,スタジオディーン,AT-X、TOKYO MXほか,12,10,9
1/8/17,チェインクロニクル 〜ヘクセイタスの閃〜,テレコム・アニメーションフィルム、グラフィニカ,ABC、TOKYO MXほか,12,20,19
1/8/17,エルドライブ【ēlDLIVE】,ぴえろ,TOKYO MXほか,12,15,15
1/8/17,にゃんこデイズ,EMTスクエアード,サンテレビ、TOKYO MX、AT-X,12,7,7
1/8/17,テイルズ オブ ゼスティリア ザ クロス（第2期）,ufotable,TOKYO MXほか,13,25,21
1/8/17,アイドル事変,MAPPA、VOLN,TOKYO MX、BSフジ,12,6,6
1/9/17,リトルウィッチアカデミア,TRIGGER,TOKYO MXほか,25,12,12
1/9/17,銀魂.（烙陽決戦篇）,BN Pictures,TX,12,10,10
1/9/17,戦隊ヒーロー スキヤキフォース -ぐんまの平和を願うシーズン-,STUDIO 4℃,GTV,24,31,29
1/9/17,ガヴリールドロップアウト,動画工房,AT-X、TOKYO MXほか,12,12,12
1/10/17,ちるらん にぶんの壱,ランドック・スタジオ,TOKYO MXほか,12,10,9
